Pollution             Healthcare            Water       Life
13.67861608           4.78591616            98.9        76.251999
25.08644703           4.48014942            100         74.254997
5.932051308           9.42230024            100         82.558998
16.45924852           11.20547328           100         81.25
28.0060253            6.0368632             86.2        71.800003
13.72387382           7.74236489            98.4        75.378998
60.33412401           4.98079638            100         76.622002
87.03455404           2.81899856            86.2        71.803001
15.20732479           7.469303              99.7        75.602997
20.03426999           5.68772158            99.7        72.504997
15.78042979           10.5947509            100         80.792
25.45071189           5.78895004            99.5        70.027
38.37472292           4.59429651            77.8        60.373001
54.13286886           3.57301481            100         69.43
28.35787923           6.33482729            90          68.357002
44.09811958           9.57201597            99.9        76.560997
18.00413861           5.41200262            96.2        64.779999
11.31754584           8.32283359            98.1        75.042
27.53486186           8.44291326            99.4        74.473
44.14409051           4.96026323            82.1        59.457001
47.29057045           7.53556539            75.8        56.688
27.76846904           5.67563855            73.4        68.250999
69.56991811           4.10367158            75.4        57.111
7.244536517           10.449582             99.8        82.035004
41.53790704           4.75969597            91.7        72.417999
49.32116669           3.6211644             50.8        52.203999
21.08723658           7.78585767            99          79.116997
57.98601356           5.54822768            94.8        75.931999
17.67549693           7.20129855            91.3        74.022003
17.13627528           6.74764314            90.1        63.216
52.04968847           5.15141136            76.3        63.535999
18.4170098            9.31311229            97.7        79.440002
26.28596513           5.71627357            81.8        52.52
20.06918657           7.80324176            99.6        77.308998
18.18831353           11.05880043           94.6        79.415001
17.20774014           7.36761162            100         80.172997
20.60073498           7.41091154            100         78.419998
46.67313051           4.32823361            52.1        58.782001
10.65521002           10.80495696           100         80.412003
51.08017071           10.56825612           90          62.006001
17.77525464           4.37577756            85          73.483002
13.84004408           9.16108824            86.9        75.878998
99.19876877           5.64211505            99.2        71.120003
36.78758485           6.77240285            93.1        73.014999
46.32019477           3.80407904            47.8        57.18
43.81240103           3.33829318            57.7        64.174004
8.70329887            6.37929421            99.6        77.140999
36.40572759           4.88431325            55.4        64.535004
7.249870664           4.48749874            95.7        69.959999
7.116471102           9.67990894            100         80.967003
12.32044895           11.53951975           100         82.184998
39.13879174           3.43747162            93.2        65.210999
59.48544873           7.34040076            90.2        60.707001
19.94951889           7.4166592             99.6        72.950996
13.86261171           11.29700067           100         80.691002
25.3778426            3.55729189            87.6        62.153999
12.6601089            8.08426702            100         80.874001
15.03709875           6.09761403            96.6        73.388
33.25911961           6.20230127            92.7        72.869003
24.87737117           5.64479793            76.7        58.846001
33.94990267           5.59313736            77.4        56.598
18.09930812           5.2478035             97.5        66.425003
25.0882277            7.55565419            57.5        62.757
37.11423279           8.72268046            90.6        73.181
21.94633745           7.40078093            100         75.646004
7.697073981           8.85916593            100         82.425003
71.62337709           4.68508833            94.1        68.021004
15.23766797           2.84686016            86.8        68.856003
43.67268667           6.8949223             96.2        75.466003
58.86882866           5.53887318            86.6        69.458
9.694570008           7.78319657            97.9        81.134003
19.94741583           7.80830808            100         82.168999
17.90572685           9.24791783            100         82.629997
16.81027962           5.36152479            93.8        75.689003
12.90119799           10.22874408           100         83.484001
37.03792968           7.45299586            96.9        74.033997
19.12674537           4.35593983            92.9        69.439003
16.51064549           5.72029126            63.1        66.241997
3.397615039           10.21295042           66.8        65.948997
77.05769694           3.04236844            99          74.458
16.77185302           6.48376219            89.2        70.578003
31.23780134           1.86554551            75.5        65.974998
19.27617816           5.88069354            99.3        74.218002
30.56520468           6.39370883            99          79.231003
23.8663077            10.61767672           81.6        53.268002
8.976974996           10.03633328           74.7        61.527
18.94196512           6.55211709            96.6        74.273003
16.51841848           6.93787356            100         81.435997
38.57433694           6.47637457            99.4        75.384003
19.09647319           3.04135502            50.6        65.133003
26.62499698           11.37795606           88.4        61.931999
15.53289658           4.16907804            98.2        74.975998
28.42403633           13.73352009           98.6        76.782997
47.91998492           6.86216649            75          57.007
14.50619675           9.74992027            100         80.530998
82.94711207           3.77269904            57.9        62.907001
14.61418025           4.80954464            99.9        74.394997
20.44662996           6.29642103            96.1        76.752998
20.66418945           10.32365569           88.4        71.258003
22.93014116           4.73034173            64.2        68.847
22.53063554           6.41654268            99.6        76.711998
21.37583231           5.90777806            85.3        75.308998
19.82030792           6.97558186            50.9        57.098999
52.44929971           2.27575459            80.5        66.285004
21.79781899           8.92868766            90.3        62.980999
71.87285903           5.797226              90.7        69.511002
14.8193533            10.89729305           100         81.555
5.516300044           11.0296101            100         81.57
28.24734132           9.04013941            86.9        74.884003
71.8987133            5.82129922            58.1        59.228001
41.56874429           3.66879844            67.6        52.549
8.875483039           9.71971755            100         81.856003
55.16104736           3.55393969            93.4        76.578003
64.27980551           2.61391631            91.3        66.139
12.28873475           8.0257236             94.4        77.610001
14.00465877           4.26357082            40          65.230003
15.30114462           9.81442131            96.6        72.913002
28.41137653           5.47303468            86.3        74.517998
23.5015133            4.7099852             91.5        68.813004
24.80509571           6.35024637            98.3        77.264
9.646636615           9.50107564            100         80.827003
107.2304966           2.18706236            100         77.888
19.43552428           5.56500913            100         75.122002
16.25309454           7.07040825            96.9        70.679001
14.33470058           6.71904145            96.3        75.116997
14.38980801           8.63023974            95.1        72.934998
3.675986518           7.21510906            99          74.503998
13.52002205           8.35346606            97.1        66.361
115.8722779           4.68408481            97          74.234001
35.95564574           4.66497201            77.8        66.375999
20.626713             10.36881192           99.2        74.893997
14.23870465           3.36981689            95.7        73.162003
22.11248767           11.08990224           61.6        50.951
18.0980605            4.92279194            100         82.662003
19.76513025           8.05404755            100         76.550003
18.74940754           9.23388628            99.5        80.610001
6.175357034           5.05106254            80.7        70.112999
29.43778161           8.79698456            92.8        60.993
33.95689759           2.73842073            58.7        55.817001
9.751187601           9.02988651            100         82.802002
27.96620125           3.50335011            95.6        74.905998
52.4613465            8.42877471            55.5        64.001999
19.25716093           5.68746988            94.8        71.138
21.65751713           9.25193954            74.1        56.286999
5.860588073           11.92983965           100         82.136002
12.37209228           11.65926872           100         82.968002
39.87796922           3.25453108            90.1        69.817001
50.26626445           6.880884              73.7        70.690002
23.46443391           5.58011591            55.5        64.163002
25.50889131           4.12216448            97.8        74.894997
18.84312794           1.47530345            71.7        68.285004
35.46667226           5.24687674            62.4        59.601002
4.00741979            5.17677064            99.6        72.732002
13.6742168            5.93319696            95.1        70.426003
39.94465035           7.00385794            97.7        75.334999
34.71083264           5.41495949            100         75.238998
61.38177704           7.22213686            78.9        59.223999
18.77806422           7.09573611            96.3        71.490997
67.17545852           3.64398564            99.6        76.947998
12.36645562           9.11547172            100         81.234001
8.498542509           17.14075435           99.2        79.099998
11.55973144           8.5814914             99.6        77.190002
7.894044215           5.02357493            93.3        71.709
23.70766924           5.2567025             93.1        74.195999
27.98099513           7.06677833            96.4        75.855003
27.16620177           4.98676469            64.6        60.775002
23.06220603           6.43947119            77.1        59.360001
