Country                       Pollution             Healthcare            Water       Life
Argentina                     13.67861608           4.78591616            98.9        76.251999
Armenia                       25.08644703           4.48014942            100         74.254997
Australia                     5.932051308           9.42230024            100         82.558998
Austria                       16.45924852           11.20547328           100         81.25
Azerbaijan                    28.0060253            6.0368632             86.2        71.800003
Bahamas                       13.72387382           7.74236489            98.4        75.378998
Bahrain                       60.33412401           4.98079638            100         76.622002
Bangladesh                    87.03455404           2.81899856            86.2        71.803001
Barbados                      15.20732479           7.469303              99.7        75.602997
Belarus                       20.03426999           5.68772158            99.7        72.504997
Belgium                       15.78042979           10.5947509            100         80.792
Belize                        25.45071189           5.78895004            99.5        70.027
Benin                         38.37472292           4.59429651            77.8        60.373001
Bhutan                        54.13286886           3.57301481            100         69.43
Bolivia                       28.35787923           6.33482729            90          68.357002
Bosnia and Herzegovina        44.09811958           9.57201597            99.9        76.560997
Botswana                      18.00413861           5.41200262            96.2        64.779999
Brazil                        11.31754584           8.32283359            98.1        75.042
Bulgaria                      27.53486186           8.44291326            99.4        74.473
Burkina Faso                  44.14409051           4.96026323            82.1        59.457001
Burundi                       47.29057045           7.53556539            75.8        56.688
Cambodia                      27.76846904           5.67563855            73.4        68.250999
Cameroon                      69.56991811           4.10367158            75.4        57.111
Canada                        7.244536517           10.449582             99.8        82.035004
Cape Verde                    41.53790704           4.75969597            91.7        72.417999
Chad                          49.32116669           3.6211644             50.8        52.203999
Chile                         21.08723658           7.78585767            99          79.116997
China                         57.98601356           5.54822768            94.8        75.931999
Colombia                      17.67549693           7.20129855            91.3        74.022003
Comoros                       17.13627528           6.74764314            90.1        63.216
Congo                         52.04968847           5.15141136            76.3        63.535999
Costa Rica                    18.4170098            9.31311229            97.7        79.440002
Cote d'Ivoire                 26.28596513           5.71627357            81.8        52.52
Croatia                       20.06918657           7.80324176            99.6        77.308998
Cuba                          18.18831353           11.05880043           94.6        79.415001
Cyprus                        17.20774014           7.36761162            100         80.172997
Czech Republic                20.60073498           7.41091154            100         78.419998
Democratic Republic of Congo  46.67313051           4.32823361            52.1        58.782001
Denmark                       10.65521002           10.80495696           100         80.412003
Djibouti                      51.08017071           10.56825612           90          62.006001
Dominican Republic            17.77525464           4.37577756            85          73.483002
Ecuador                       13.84004408           9.16108824            86.9        75.878998
Egypt                         99.19876877           5.64211505            99.2        71.120003
El Salvador                   36.78758485           6.77240285            93.1        73.014999
Equatorial Guinea             46.32019477           3.80407904            47.8        57.18
Eritrea                       43.81240103           3.33829318            57.7        64.174004
Estonia                       8.70329887            6.37929421            99.6        77.140999
Ethiopia                      36.40572759           4.88431325            55.4        64.535004
Fiji                          7.249870664           4.48749874            95.7        69.959999
Finland                       7.116471102           9.67990894            100         80.967003
France                        12.32044895           11.53951975           100         82.184998
Gabon                         39.13879174           3.43747162            93.2        65.210999
Gambia                        59.48544873           7.34040076            90.2        60.707001
Georgia                       19.94951889           7.4166592             99.6        72.950996
Germany                       13.86261171           11.29700067           100         80.691002
Ghana                         25.3778426            3.55729189            87.6        62.153999
Greece                        12.6601089            8.08426702            100         80.874001
Grenada                       15.03709875           6.09761403            96.6        73.388
Guatemala                     33.25911961           6.20230127            92.7        72.869003
Guinea                        24.87737117           5.64479793            76.7        58.846001
Guinea-Bissau                 33.94990267           5.59313736            77.4        56.598
Guyana                        18.09930812           5.2478035             97.5        66.425003
Haiti                         25.0882277            7.55565419            57.5        62.757
Honduras                      37.11423279           8.72268046            90.6        73.181
Hungary                       21.94633745           7.40078093            100         75.646004
Iceland                       7.697073981           8.85916593            100         82.425003
India                         71.62337709           4.68508833            94.1        68.021004
Indonesia                     15.23766797           2.84686016            86.8        68.856003
Iran                          43.67268667           6.8949223             96.2        75.466003
Iraq                          58.86882866           5.53887318            86.6        69.458
Ireland                       9.694570008           7.78319657            97.9        81.134003
Israel                        19.94741583           7.80830808            100         82.168999
Italy                         17.90572685           9.24791783            100         82.629997
Jamaica                       16.81027962           5.36152479            93.8        75.689003
Japan                         12.90119799           10.22874408           100         83.484001
Jordan                        37.03792968           7.45299586            96.9        74.033997
Kazakhstan                    19.12674537           4.35593983            92.9        69.439003
Kenya                         16.51064549           5.72029126            63.1        66.241997
Kiribati                      3.397615039           10.21295042           66.8        65.948997
Kuwait                        77.05769694           3.04236844            99          74.458
Kyrgyzstan                    16.77185302           6.48376219            89.2        70.578003
Laos                          31.23780134           1.86554551            75.5        65.974998
Latvia                        19.27617816           5.88069354            99.3        74.218002
Lebanon                       30.56520468           6.39370883            99          79.231003
Lesotho                       23.8663077            10.61767672           81.6        53.268002
Liberia                       8.976974996           10.03633328           74.7        61.527
Lithuania                     18.94196512           6.55211709            96.6        74.273003
Luxembourg                    16.51841848           6.93787356            100         81.435997
Macedonia                     38.57433694           6.47637457            99.4        75.384003
